Generation,Evaluation Score
513,182858134.2528663414996720874210293
514,182858134.2528663414996720874210293
515,182858134.2528663414996720874210293
516,182858134.2528663414996720874210293
517,182858134.2528663414996720874210293
518,182858134.2528663414996720874210293
519,182858134.2528663414996720874210293
520,182858134.2528663414996720874210293
521,182858134.2528663414996720874210293
522,182858134.2528663414996720874210293
523,182858134.2528663414996720874210293
524,182858134.2528663414996720874210293
525,182858134.2528663414996720874210293
526,182858134.2528663414996720874210293
527,182858134.2528663414996720874210293
528,182858134.2528663414996720874210293
529,182858134.2528663414996720874210293
530,182858134.2528663414996720874210293
531,182858134.2528663414996720874210293
532,182858134.2528663414996720874210293
533,182858134.2528663414996720874210293
534,182858134.2528663414996720874210293
535,182858134.2528663414996720874210293
536,182858134.2528663414996720874210293
537,182858134.2528663414996720874210293
538,182858134.2528663414996720874210293
539,182858134.2528663414996720874210293
540,182858134.2528663414996720874210293
541,182858134.2528663414996720874210293
542,182858134.2528663414996720874210293
543,182858134.2528663414996720874210293
544,182858134.2528663414996720874210293
545,182858134.2528663414996720874210293
546,182858134.2528663414996720874210293
547,182858134.2528663414996720874210293
548,182858134.2528663414996720874210293
549,182858134.2528663414996720874210293
550,182858134.2528663414996720874210293
551,182858134.2528663414996720874210293
552,182858134.2528663414996720874210293
553,182858134.2528663414996720874210293
554,182858134.2528663414996720874210293
555,182858134.2528663414996720874210293
556,182858134.2528663414996720874210293
557,182858134.2528663414996720874210293
558,182858134.2528663414996720874210293
559,182858134.2528663414996720874210293
560,182858134.2528663414996720874210293
561,182858134.2528663414996720874210293
562,182858134.2528663414996720874210293
563,182858134.2528663414996720874210293
564,182858134.2528663414996720874210293
565,182858134.2528663414996720874210293
566,182858134.2528663414996720874210293
567,182858134.2528663414996720874210293
568,182858134.2528663414996720874210293
569,182858134.2528663414996720874210293
570,182858134.2528663414996720874210293
571,182858134.2528663414996720874210293
572,182858134.2528663414996720874210293
573,182858134.2528663414996720874210293
574,182858134.2528663414996720874210293
575,182858134.2528663414996720874210293
576,182858134.2528663414996720874210293
577,182858134.2528663414996720874210293
578,182858134.2528663414996720874210293
579,182858134.2528663414996720874210293
580,182858134.2528663414996720874210293
581,182858134.2528663414996720874210293
582,182858134.2528663414996720874210293
583,182858134.2528663414996720874210293
584,182858134.2528663414996720874210293
585,182858134.2528663414996720874210293
586,182858134.2528663414996720874210293
587,182858134.2528663414996720874210293
588,182858134.2528663414996720874210293
589,182858134.2528663414996720874210293
590,182858134.2528663414996720874210293
591,182858134.2528663414996720874210293
592,182858134.2528663414996720874210293
593,182858134.2528663414996720874210293
594,182858134.2528663414996720874210293
595,182858134.2528663414996720874210293
596,182858134.2528663414996720874210293
597,182858134.2528663414996720874210293
598,182858134.2528663414996720874210293
599,182858134.2528663414996720874210293
600,182858134.2528663414996720874210293
601,182858134.2528663414996720874210293
602,182858134.2528663414996720874210293
603,182858134.2528663414996720874210293
604,182858134.2528663414996720874210293
605,182858134.2528663414996720874210293
606,182858134.2528663414996720874210293
607,182858134.2528663414996720874210293
608,182858134.2528663414996720874210293
609,182858134.2528663414996720874210293
610,182858134.2528663414996720874210293
611,182858134.2528663414996720874210293
612,182858134.2528663414996720874210293
613,182858134.2528663414996720874210293
614,182858134.2528663414996720874210293
615,182858134.2528663414996720874210293
616,182858134.2528663414996720874210293
617,182858134.2528663414996720874210293
618,182858134.2528663414996720874210293
619,182858134.2528663414996720874210293
620,182858134.2528663414996720874210293
621,182858134.2528663414996720874210293
622,182858134.2528663414996720874210293
623,182858134.2528663414996720874210293
624,182858134.2528663414996720874210293
625,182858134.2528663414996720874210293
626,182858134.2528663414996720874210293
627,182858134.2528663414996720874210293
628,182858134.2528663414996720874210293
629,182858134.2528663414996720874210293
630,182858134.2528663414996720874210293
631,182858134.2528663414996720874210293
632,182858134.2528663414996720874210293
633,182858134.2528663414996720874210293
634,182858134.2528663414996720874210293
635,182858134.2528663414996720874210293
636,182858134.2528663414996720874210293
637,182858134.2528663414996720874210293
638,182858134.2528663414996720874210293
639,182858134.2528663414996720874210293
640,182858134.2528663414996720874210293
641,182858134.2528663414996720874210293
642,182858134.2528663414996720874210293
643,182858134.2528663414996720874210293
644,182858134.2528663414996720874210293
645,182858134.2528663414996720874210293
646,182858134.2528663414996720874210293
647,182858134.2528663414996720874210293
648,182858134.2528663414996720874210293
649,182858134.2528663414996720874210293
650,182858134.2528663414996720874210293
651,182858134.2528663414996720874210293
652,182858134.2528663414996720874210293
653,182858134.2528663414996720874210293
654,182858134.2528663414996720874210293
655,182858134.2528663414996720874210293
